% Cpu,Block Changes,Cursor/session,DB Cpu,DB Time,Date (DB Statistics),Date,Hard Parse (DB Statistics),Hard Parse,Instance Number (DB Statistics),Servers,JAVA Execs,Logical Reads,Number of Records,PLSQL Execs,Parse Time,PhysRead/Txn,PhysWrite/Txn,Redo 1,Redo,Repeat,SQL Execs,Sessions,User Calls
44.67,174.87,20.44,9805,21948,5/13/2018 7:00:00 PM,5/13/2018 7:00:00 PM,613,850.27,5,5,27,208.2,1,1675,762,752.77,1,240.53,954,22,20974,943,9
21.85,341.07,24.94,16176,74048,5/8/2018 5:00:00 AM,5/8/2018 5:00:00 AM,17,15,5,5,256,408.98,1,2855,90,4,262.82,666,1,22,54622,944,462.14
44.79,554.62,18.94,9627,21492,5/27/2018 5:00:00 PM,5/27/2018 5:00:00 PM,445,10,5,5,18,314.51,1,1611,605,2,175.04,108,1,22,20579,947,241.72
51.44,412.2,26.46,15678,30476,5/11/2018 6:00:00 AM,5/11/2018 6:00:00 AM,11,20,5,5,56,147.87,1,2837,59,5,247.85,12,2,22,28948,948,579.96
44.9,177.01,20.34,9469,21087,5/13/2018 8:00:00 PM,5/13/2018 8:00:00 PM,573,217.75,5,5,22,244.3,1,1711,704,80.72,2,469.86,941,22,20143,963,9
46.08,96.73,18.8,10393,22555,5/20/2018 5:00:00 PM,5/20/2018 5:00:00 PM,730,10,5,5,26,749.91,1,1700,921,2,177.05,106,1,22,21630,969,277.88
20.62,621.66,27.95,16615,80569,5/1/2018 10:00:00 PM,5/1/2018 10:00:00 PM,21,15,5,5,43,698.78,1,2901,70,4,272.65,864,1,23,52673,837,521.82
11.58,41.4,27.52,16372,141370,5/21/2018 11:00:00 PM,5/21/2018 11:00:00 PM,38,14,5,5,42,69.94,1,2647,82,4,266.99,775,1,23,86883,837,448.85
52.83,909.78,28.19,15758,29829,5/22/2018 12:00:00 PM,5/22/2018 12:00:00 PM,45,16,5,5,35,586.08,1,2905,90,4,261.16,56,2,23,28247,837,571.48
50.44,155.46,28.09,15099,29936,5/14/2018 11:00:00 PM,5/14/2018 11:00:00 PM,17,18,5,5,41,60.22,1,2961,62,4,245.4,797,1,23,28361,840,478.15
